Unnamed: 0,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1600,Davide Zappacosta,Atalanta,Serie_A,29,2270,3,3,1,1.6123620108701289,1.9366782698780296,1.6123620108701289,0.0639262471270095,0.07678460100838,0.0639262471270095,D M S,25,17,4,0,2.911543006077409,5.560821439139545
1601,Luca Rossettini,Cagliari,Serie_A,32,2837,3,3,3,2.939154610037804,3.856693059206009,2.939154610037804,0.0932407172729652,0.122348387496842,0.0932407172729652,D,20,11,12,0,5.162736436352134,6.249134724959731
1602,Marco Benassi,Torino,Serie_A,25,1360,3,3,2,1.965877179056406,1.4900434762239456,1.965877179056406,0.1300948133199092,0.0986058182795258,0.1300948133199092,M S,32,23,8,0,4.331791643984616,6.819190968759358
1603,Josef Martínez,Torino,Serie_A,26,1566,3,3,1,5.535407152026892,0.7948949486017227,5.535407152026892,0.3181268478176374,0.0456836177357311,0.3181268478176374,F S,49,18,0,0,1.912117318250239,7.845025554299354
1604,Senad Lulic,Lazio,Serie_A,25,1851,3,3,7,3.103746132925153,3.664101763628423,3.103746132925153,0.1509114813415795,0.1781572980694533,0.1509114813415795,D F M S,25,33,8,0,5.564486212097108,11.459045320749285
1605,Bruno Fernandes,Udinese,Serie_A,31,1605,3,3,2,2.6343416767194867,2.3319512456655502,2.6343416767194867,0.1477200940216534,0.1307636212522738,0.1477200940216534,M S,41,22,5,0,2.225661728531122,5.787395132705569
1606,Stephan El Shaarawy,AC Milan,Serie_A,18,1204,3,3,3,1.867897825315595,1.4042906174436212,1.867897825315595,0.1396269138524946,0.1049718900082441,0.1396269138524946,F M S,25,15,3,0,2.0363431870937347,4.928377287462354
1607,Ivaylo Chochev,Palermo,Serie_A,18,1099,3,3,0,3.433977602981031,1.201831791549921,3.433977602981031,0.2812174561130962,0.0984211658230144,0.2812174561130962,M S,17,13,4,0,2.797271264716983,6.537997746840119
1608,Leonardo Bonucci,Juventus,Serie_A,34,3013,3,3,0,1.574202842079103,1.0706108156591654,1.574202842079103,0.0470223218676134,0.031979745572295,0.0470223218676134,D S,25,10,8,0,10.110411521047354,10.467808770015836
1609,Claudio Marchisio,Juventus,Serie_A,35,2868,3,2,6,4.285206330940127,3.2261499110609293,3.52390749566257,0.1344730020169496,0.1012390139454266,0.1105828712028003,M S,51,49,9,0,10.60127242654562,14.930751632899046
1610,Daniele Rugani,Empoli,Serie_A,38,3420,3,3,0,3.565912877209485,0.1366754453629255,3.565912877209485,0.0938398125581443,0.0035967222463927,0.0938398125581443,D,25,2,0,0,6.00563695654273,6.026263922452927
1611,Stephan Lichtsteiner,Juventus,Serie_A,32,2448,3,3,5,2.075416406616569,3.6611581705510616,2.075416406616569,0.0763020737726679,0.1346014033290831,0.0763020737726679,D M S,21,24,8,1,7.652455508708954,10.487205788493156
1612,Jonathan de Guzmán,Napoli,Serie_A,23,1179,3,3,1,3.772478202357888,2.9352040328085423,3.772478202357888,0.2879754352944952,0.2240613765502704,0.2879754352944952,M S,25,23,1,0,1.7837876453995705,7.428111640736461
1613,Omar El Kaddouri,Torino,Serie_A,32,2304,3,3,4,3.635398198850453,5.470434523187578,2.8740993039682508,0.1420077421425958,0.2136888485620147,0.1122695040612598,F M S,40,71,9,1,5.569196978583932,11.094203141517935
1614,Panagiotis Tachtsidis,Verona,Serie_A,34,2978,3,3,2,1.7322641885839405,2.812924179248512,1.7322641885839405,0.0523518391445784,0.0850111404071074,0.0523518391445784,M,45,40,9,0,6.963136435952038,8.561685305088758
1615,Saphir Taïder,Sassuolo,Serie_A,27,1682,3,3,3,2.8775843884795904,2.837092876434326,2.8775843884795904,0.1539730053288722,0.1518063964798391,0.1539730053288722,M S,37,19,6,0,3.3238166626542807,7.86535676382482
1616,Alejandro Gomez,Atalanta,Serie_A,24,1515,3,3,2,3.1020293487235904,3.4124406408518557,3.1020293487235904,0.1842789712113024,0.2027192459911993,0.1842789712113024,F M S,41,34,0,1,2.951842999085784,6.550938973203301
1617,Bruno Peres,Torino,Serie_A,34,2593,3,3,3,2.095815042965114,2.2254203483462334,2.095815042965114,0.0727432911171848,0.0772417398191905,0.0727432911171848,M S,40,27,8,0,6.985321732237935,10.175182972103356
1618,Lucas Biglia,Lazio,Serie_A,27,2331,3,2,2,2.7861200869083405,2.8101687878370285,1.26352246850729,0.1075722041277351,0.108500725399113,0.0487846512937177,M,31,41,6,0,9.21994704194367,9.951664233580232
1619,Paul-José M&#039;Poku,Cagliari,Serie_A,16,1246,3,3,1,2.3842395283281803,4.049023699015379,2.3842395283281803,0.1722163383222602,0.2924655962370659,0.1722163383222602,F M S,38,28,4,0,1.6723609995096922,6.1293930336833
1620,Carlos Carbonero,Cesena,Serie_A,22,1398,3,3,2,1.884507417678833,1.500954519957304,1.884507417678833,0.1213202200222424,0.0966279733878092,0.1213202200222424,M S,27,20,7,0,1.8529939465224745,4.304596183821559
1621,Nigel de Jong,AC Milan,Serie_A,29,2598,3,3,0,1.6529960446059704,0.3058893606066704,1.6529960446059704,0.0572631424228396,0.0105966291203234,0.0572631424228396,M,17,9,11,0,4.703667802736163,5.726970104500651
1622,Antonio Nocerino,"Parma,Torino",Serie_A,25,1917,3,2,1,4.661524835042656,1.414945495314896,3.900225999765098,0.2188509312226599,0.0664293659772251,0.183109201866906,M S,29,22,2,0,1.6115537090227008,4.721211010590196
1623,Paolo De Ceglie,"Juventus,Parma",Serie_A,13,872,3,3,0,1.7365923840552568,0.5852350946515799,1.7365923840552568,0.1792354524827673,0.0604027047232135,0.1792354524827673,D F M S,8,5,3,0,0.6530677508562803,2.7761873956769705
1625,Richmond Boakye,Atalanta,Serie_A,19,774,3,3,0,2.0661533921957016,0.1529366942122578,2.0661533921957016,0.2402503944413606,0.017783336536309,0.2402503944413606,F M S,16,5,3,1,0.8581385733559728,3.0392551496624947
1626,Matteo Darmian,Torino,Serie_A,33,2574,2,2,1,2.2068068217486143,3.3473622193560004,2.2068068217486143,0.0771610776835179,0.1170406370404196,0.0771610776835179,D M S,29,39,2,0,5.568090185523033,9.603788582608104
1627,Seydou Doumbia,Roma,Serie_A,13,539,2,2,0,0.8845066111534834,0.1147700734436512,0.8845066111534834,0.1476912708790603,0.0191638341557117,0.1476912708790603,F S,8,4,0,0,0.2633210979402065,1.1745004151016474
1628,Juan Iturbe,Roma,Serie_A,27,1392,2,2,1,3.5707635395228863,1.3323312252759931,3.5707635395228863,0.2308683322967383,0.0861421050824995,0.2308683322967383,F M S,34,16,4,0,1.133373255841434,5.47852654568851
1629,Víctor Ibarbo,"Cagliari,Roma",Serie_A,23,1630,2,2,3,4.962238106876612,4.883912172168493,4.962238106876612,0.2739886071281565,0.269663862266972,0.2739886071281565,F S,28,33,5,1,5.269107603468001,11.657979644834995
1630,Alessandro Diamanti,Fiorentina,Serie_A,11,681,2,2,0,3.1763698495924477,0.5507885441184044,2.41507101431489,0.4197845616201472,0.0727914375486878,0.3191723807464612,F M S,42,10,4,0,1.2560701025649903,3.482746444642544
1631,Alessio Romagnoli,Sampdoria,Serie_A,30,2533,2,2,2,1.3117055832408369,0.9844666048884392,1.3117055832408369,0.046606199167657,0.0349790739991944,0.046606199167657,D S,8,4,9,0,3.683395614847541,3.702617146074772
1632,Juraj Kucka,Genoa,Serie_A,34,1850,2,2,0,3.681763118132949,1.1276068296283484,3.681763118132949,0.1791128003416029,0.0548565484684061,0.1791128003416029,F M S,43,10,5,0,5.800608633086085,7.57462621666491
1633,Silvan Widmer,Udinese,Serie_A,36,3004,2,2,4,1.4486489333212376,4.154398546554148,1.4486489333212376,0.0434015992007028,0.1244660017276542,0.0434015992007028,D M S,24,34,5,0,4.957222515717149,8.806115129962564
1634,Danilo,Udinese,Serie_A,37,3330,2,2,0,1.3572118720039723,0.2327012596651911,1.3572118720039723,0.0366814019460533,0.0062892232341943,0.0366814019460533,D,16,7,7,0,4.844531357288361,5.127271085977554
1635,Molla Wagué,Udinese,Serie_A,10,894,2,2,0,1.0469279596582055,0.0457696691155433,1.0469279596582055,0.1053954321803562,0.0046076848102896,0.1053954321803562,D M,5,1,4,0,0.906591858714819,0.9523615278303624
1636,Daniele Baselli,Atalanta,Serie_A,22,1286,2,2,2,2.2907420806586742,1.3257531942799687,2.2907420806586742,0.1603163197972633,0.0927821053539636,0.1603163197972633,M S,25,12,6,0,0.8662515766918659,4.243394709192216
1637,Emiliano Moretti,Torino,Serie_A,35,3150,2,2,2,2.358657937496901,1.2403207132592795,2.358657937496901,0.0673902267856257,0.0354377346645508,0.0673902267856257,D,17,10,11,0,7.757864695042372,8.163583789020777
1638,Jacopo Sala,Verona,Serie_A,16,1199,2,2,2,0.6323188208043575,2.308067796751857,0.6323188208043575,0.0474634644473662,0.1732494593058107,0.0474634644473662,D F M,7,25,2,2,3.887604543939233,6.186454514041543
1639,Edgar Barreto,Palermo,Serie_A,24,2041,2,2,5,1.604432231746614,5.666622472926974,1.604432231746614,0.0707490940015655,0.2498755622554765,0.0707490940015655,M,34,44,2,2,4.351639866828919,8.87396795488894
1640,Daniele De Rossi,Roma,Serie_A,26,2155,2,2,0,1.785918950103223,0.4362399270758033,1.785918950103223,0.0745859422316891,0.0182188368616344,0.0745859422316891,M S,18,13,11,1,7.471707748249173,8.457872894592583
1641,Robin Quaison,Palermo,Serie_A,19,772,2,2,1,2.7064398042857647,2.356516968458891,2.7064398042857647,0.3155175937638845,0.2747234807788862,0.3155175937638845,M S,16,15,2,0,1.269724227488041,5.95801086910069
