,player_name,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,market_value_in_eur,height_in_cm,age_in_months_2015,points_per_game,team_rank,player_performance_valuation_standardized
21,Fernandinho,2283,3,3,3,2.4068920481950045,2.695050650276244,2.4068920481950045,0.0948840492061105,0.1062437838479465,0.0948840492061105,M S,24,30,7,0,9.671797586604953,13.146952655166388,75000.0,169.0,246.0,1.9276315789473684,13,2.205178681647745
22,Josip Ilicic,1528,8,7,3,4.872598621994257,4.165326850488782,4.111299846321344,0.2869986099342167,0.2453399322931874,0.2421577134613357,F M S,72,44,6,0,3.952688835561276,8.42540667578578,300000.0,190.0,326.0,1.57,37,2.198428378229969
23,Daniel Sturridge,747,4,4,1,4.518866069614887,1.51829581707716,4.518866069614887,0.5444416951343237,0.1829272068767662,0.5444416951343237,F S,39,11,0,0,1.785387766547501,7.007463209331036,200000.0,182.0,306.0,1.730263157894737,24,2.103576502385518
24,Michel Morganella,1725,1,1,1,0.3357750410214066,1.9470138233155008,0.3357750410214066,0.0175186977924212,0.1015833299121131,0.0175186977924212,D M,10,14,7,0,4.28647290263325,5.804269812069833,25000.0,183.0,310.0,1.281954887218045,87,1.9973242345056308
25,Alexander Meier,2209,19,16,2,15.395941108465196,1.2686937591060996,12.36483433842659,0.6272678586518187,0.0516896506652553,0.5037732414931612,F M S,80,22,0,0,1.9156581219285729,12.408789467066526,300000.0,196.0,386.0,1.1722689075630253,115,1.9871795522920397
26,Andrea Lazzari,83,0,0,0,0.0746546015143394,0.2163789868354797,0.0746546015143394,0.0809507727263921,0.2346278170505202,0.0809507727263921,M S,2,5,0,0,0.1548704952001571,0.3829368054866791,25000.0,184.0,363.0,1.57,37,1.8347968648879194
27,Jermain Defoe,1468,4,4,0,4.020909581333399,1.260544329881668,4.020909581333399,0.2465135301907397,0.0772813281262603,0.2465135301907397,F M,34,13,1,0,2.511991862207651,7.368556208908558,400000.0,171.0,389.0,1.0723684210526316,107,1.8013771745081355
28,Floyd Ayité,2338,6,6,2,3.513708256185055,3.020284258760512,3.513708256185055,0.1352582305631543,0.1162641502516877,0.1352582305631543,F M S,55,28,4,0,1.5779996812343595,6.143292110413313,250000.0,175.0,315.0,1.25,160,1.7915645845640595
29,Roberto Trashorras,2890,1,1,4,1.7923022769391537,4.091575672850013,1.7923022769391537,0.0558156418423957,0.127419311611246,0.0558156418423957,M,42,57,11,0,8.348096490837634,10.312901325523852,200000.0,177.0,409.0,1.1894736842105262,130,1.7763953634053715
30,Adrián Ramos,707,2,2,2,2.958767514675856,1.453199926763773,2.958767514675856,0.376646501161,0.1849900896870432,0.376646501161,F S,19,17,0,0,1.518416404724121,5.211286336183548,300000.0,185.0,350.0,1.959558823529412,18,1.7367825038660545
